file,path,summary,readable,pages,chars,signals,tone,bull,bear,entities
20.07_Spain_Biofuels Policy and Market.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/07/20.07_Spain_Biofuels Policy and Market.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/07/20.07_Spain_Biofuels Policy and Market.md,True,25,50035,바이오연료수요|생산변동|압착,하방 우세,18,29,Argentina|Brazil|Indonesia|Malaysia|China|EU|Biodiesel Mandate|Palm Oil|Sunflower Oil|Rapeseed Oil
20.08_Argentina_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/08/20.08_Argentina_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/08/20.08_Argentina_Biofuels Annual.md,True,20,51334,물류충격|바이오연료수요|수입관세|수출규제|재고,하방 우세,24,42,Argentina|Brazil|China|EU|Export Tax|Import Duty|WASDE Surprise|Rapeseed Oil
20.08_Canada_Overview of COVID-19 Impacts on Canadian Agriculture.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/08/20.08_Canada_Overview of COVID-19 Impacts on Canadian Agriculture.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/08/20.08_Canada_Overview of COVID-19 Impacts on Canadian Agriculture.md,True,7,17961,바이오연료수요,상방 우세,19,13,China|EU|Rapeseed Oil
20.08_EU_European Commission Launches Public Consultation on Possible Revision of REDII.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/08/20.08_EU_European Commission Launches Public Consultation on Possible Revision of REDII.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/08/20.08_EU_European Commission Launches Public Consultation on Possible Revision of REDII.md,True,3,3640,,중립/혼재,0,0,EU
20.08_Indonesia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/08/20.08_Indonesia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/08/20.08_Indonesia_Biofuels Annual.md,True,20,37923,바이오연료수요|수입관세|수출규제|재고,중립/혼재,20,26,Indonesia|India|China|EU|Korea|Export Tax|Import Duty|Biodiesel Mandate|WASDE Surprise|Palm Oil
20.08_Vietnam_Ethanol Background Report.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/08/20.08_Vietnam_Ethanol Background Report.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/08/20.08_Vietnam_Ethanol Background Report.md,True,8,12669,바이오연료수요|수입관세,중립/혼재,7,9,Malaysia|China|Korea|Import Duty|WASDE Surprise
20.09_Brazil_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_Brazil_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_Brazil_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.09_Czech Republic_Sees Solid Harvest Despite Initial Drought.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_Czech Republic_Sees Solid Harvest Despite Initial Drought.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_Czech Republic_Sees Solid Harvest Despite Initial Drought.md,False,0,0,,판독불가,0,0,
20.09_EU_Launches Expiry Review of Countervailing Duties Against US Biodiesel.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_EU_Launches Expiry Review of Countervailing Duties Against US Biodiesel.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_EU_Launches Expiry Review of Countervailing Duties Against US Biodiesel.md,False,0,0,,판독불가,0,0,
20.09_India_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_India_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_India_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.09_Japan_Proposes to Revise Eligibility for Biomass Feed-In Tariff Program.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_Japan_Proposes to Revise Eligibility for Biomass Feed-In Tariff Program.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_Japan_Proposes to Revise Eligibility for Biomass Feed-In Tariff Program.md,False,0,0,,판독불가,0,0,
20.09_Japan_Raises Carbon Intensity Value for Gasoline.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_Japan_Raises Carbon Intensity Value for Gasoline.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_Japan_Raises Carbon Intensity Value for Gasoline.md,False,0,0,,판독불가,0,0,
20.09_Thailand_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/09/20.09_Thailand_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/09/20.09_Thailand_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.10_Brazil_Corn Ethanol Production Booms.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/10/20.10_Brazil_Corn Ethanol Production Booms.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/10/20.10_Brazil_Corn Ethanol Production Booms.md,False,0,0,,판독불가,0,0,
20.10_Peru_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/10/20.10_Peru_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/10/20.10_Peru_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.11_Brazil_Allows Imported Soy in Biodiesel Production.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/11/20.11_Brazil_Allows Imported Soy in Biodiesel Production.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/11/20.11_Brazil_Allows Imported Soy in Biodiesel Production.md,False,0,0,,판독불가,0,0,
20.11_EU_Launches Public Consultation on the Review of the Renewable Energy Directive.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/11/20.11_EU_Launches Public Consultation on the Review of the Renewable Energy Directive.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/11/20.11_EU_Launches Public Consultation on the Review of the Renewable Energy Directive.md,False,0,0,,판독불가,0,0,
20.11_India_Government Approves Market Year 2020-21 Revised Procurement Prices for Fuel-use Ethanol.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/11/20.11_India_Government Approves Market Year 2020-21 Revised Procurement Prices for Fuel-use Ethanol.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/11/20.11_India_Government Approves Market Year 2020-21 Revised Procurement Prices for Fuel-use Ethanol.md,False,0,0,,판독불가,0,0,
20.11_Japan_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/11/20.11_Japan_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/11/20.11_Japan_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.11_Philippines_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/11/20.11_Philippines_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/11/20.11_Philippines_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.12_India_Government Publishes Draft Automotive Industry Standards as it Accelerates Ethanol Blending Mandate.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/12/20.12_India_Government Publishes Draft Automotive Industry Standards as it Accelerates Ethanol Blending Mandate.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/12/20.12_India_Government Publishes Draft Automotive Industry Standards as it Accelerates Ethanol Blending Mandate.md,False,0,0,,판독불가,0,0,
20.12_Malaysia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/2020/12/20.12_Malaysia_Biofuels Annual.pdf,data/raw/USDA/FAS/GAIN/Biofuels/summary/2020/12/20.12_Malaysia_Biofuels Annual.md,False,0,0,,판독불가,0,0,
20.01_Argentina_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/01/20.01_Argentina_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/01/20.01_Argentina_Oilseeds and Products Update.md,True,8,11107,수출규제|압착|재고,중립/혼재,14,15,Argentina|Brazil|Export Tax|WASDE Surprise|Sunflower Oil
20.01_Brazil_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/01/20.01_Brazil_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/01/20.01_Brazil_Oilseeds and Products Update.md,True,10,17076,바이오연료수요|생산변동|압착|재고,상방 우세,17,5,Brazil|China|WASDE Surprise
20.01_Ethiopia_Oilseeds Report Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/01/20.01_Ethiopia_Oilseeds Report Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/01/20.01_Ethiopia_Oilseeds Report Annual.md,True,21,35627,바이오연료수요|생산변동|압착|재고,상방 우세,35,21,Indonesia|Malaysia|India|China|Ukraine|WASDE Surprise|Palm Oil|Sunflower Oil|Rapeseed Oil
20.01_Indonesia_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/01/20.01_Indonesia_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/01/20.01_Indonesia_Oilseeds and Products Update.md,True,9,11902,바이오연료수요|수입관세|수출규제|압착|재고,상방 우세,14,10,Argentina|Brazil|Indonesia|Malaysia|India|China|Export Tax|Import Duty|Biodiesel Mandate|WASDE Surprise|Palm Oil
20.02_Argentina_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Argentina_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Argentina_Oilseeds and Products Update.md,True,5,7927,기상이변|물류충격|생산변동|수출규제,하방 우세,8,14,Argentina|Export Tax|ENSO Phase
20.02_Egypt_Reintroduces Government Pre shipment Inspections for Grain Imports.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Egypt_Reintroduces Government Pre shipment Inspections for Grain Imports.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Egypt_Reintroduces Government Pre shipment Inspections for Grain Imports.md,True,7,13750,,하방 우세,0,1,
20.02_India_2020-21 Budget Raises Tariffs on Several Agricultural Products.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_India_2020-21 Budget Raises Tariffs on Several Agricultural Products.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_India_2020-21 Budget Raises Tariffs on Several Agricultural Products.md,True,4,6231,수입관세,하방 우세,2,3,India|Palm Oil
20.02_Italy_Italian Industrial Hemp Overview 2020.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Italy_Italian Industrial Hemp Overview 2020.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Italy_Italian Industrial Hemp Overview 2020.md,True,4,8069,,중립/혼재,1,1,China|EU
20.02_Japan_USJTA Treatment for Fats and Oils.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Japan_USJTA Treatment for Fats and Oils.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Japan_USJTA Treatment for Fats and Oils.md,True,3,3837,,중립/혼재,2,2,Sunflower Oil
20.02_Romania_Romanian Industrial Hemp Market Overview.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Romania_Romanian Industrial Hemp Market Overview.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Romania_Romanian Industrial Hemp Market Overview.md,True,8,14110,,중립/혼재,4,5,Ukraine
20.02_Russia_Draft TBT Measure on Fat and Oil Products Notified to WTO.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Russia_Draft TBT Measure on Fat and Oil Products Notified to WTO.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Russia_Draft TBT Measure on Fat and Oil Products Notified to WTO.md,True,14,23242,,상방 우세,1,0,Brazil
20.02_Taiwan_Impacted as Agricultural Trade Disrupted by Coronavirus.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Taiwan_Impacted as Agricultural Trade Disrupted by Coronavirus.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Taiwan_Impacted as Agricultural Trade Disrupted by Coronavirus.md,True,3,7225,,상방 우세,4,2,China
20.02_Tunisia_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Tunisia_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Tunisia_Oilseeds and Products Annual.md,True,9,14746,기상이변|압착|재고,중립/혼재,10,13,Argentina|Brazil|Indonesia|Malaysia|Ukraine|WASDE Surprise|ENSO Phase|Palm Oil|Sunflower Oil|Rapeseed Oil
20.02_Vietnam_Requires Certificate of Free Sale for Imported Feed Ingredients.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/02/20.02_Vietnam_Requires Certificate of Free Sale for Imported Feed Ingredients.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/02/20.02_Vietnam_Requires Certificate of Free Sale for Imported Feed Ingredients.md,True,4,6611,,하방 우세,0,1,Rapeseed Oil
20.03_Argentina_New Export Tax Rates in Argentina.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Argentina_New Export Tax Rates in Argentina.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Argentina_New Export Tax Rates in Argentina.md,True,5,6239,수출규제,중립/혼재,6,7,Argentina|Export Tax|Sunflower Oil
20.03_Australia_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Australia_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Australia_Oilseeds and Products Annual.md,True,18,28508,기상이변|바이오연료수요|생산변동|압착|재고,상방 우세,31,19,Argentina|Malaysia|China|EU|Korea|WASDE Surprise|ENSO Phase|Palm Oil|Sunflower Oil|Rapeseed Oil
20.03_Canada_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Canada_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Canada_Oilseeds and Products Annual.md,True,30,39233,물류충격|생산변동|압착|재고,하방 우세,32,65,Malaysia|India|China|EU|Korea|WASDE Surprise|Palm Oil|Sunflower Oil|Rapeseed Oil
20.03_Canada_Transportation Disruptions Impact Canadian Agricultural Supply System.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Canada_Transportation Disruptions Impact Canadian Agricultural Supply System.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Canada_Transportation Disruptions Impact Canadian Agricultural Supply System.md,True,4,6454,바이오연료수요,하방 우세,2,7,China|Rapeseed Oil
20.03_China_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_China_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_China_Oilseeds and Products Annual.md,True,37,38251,기상이변|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,30,30,Argentina|Brazil|India|China|Ukraine|Import Duty|WASDE Surprise|Palm Oil|Rapeseed Oil
20.03_Egypt_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Egypt_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Egypt_Oilseeds and Products Annual.md,True,14,27411,바이오연료수요|수입관세|압착|재고,하방 우세,27,47,Argentina|Brazil|Indonesia|Malaysia|Ukraine|WASDE Surprise|Palm Oil|Sunflower Oil
20.03_India_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_India_Oilseeds and Products Update.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_India_Oilseeds and Products Update.md,True,7,14305,수입관세|압착|재고,하방 우세,3,17,India|Import Duty|WASDE Surprise|Palm Oil|Sunflower Oil|Rapeseed Oil
20.03_Indonesia_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Indonesia_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Indonesia_Oilseeds and Products Annual.md,True,17,24855,물류충격|바이오연료수요|압착|재고,중립/혼재,24,25,Argentina|Brazil|Indonesia|Malaysia|India|China|Korea|Palm Export Levy|WASDE Surprise|Palm Oil
20.03_Peru_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Peru_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Peru_Oilseeds and Products Annual.md,True,4,7883,재고,하방 우세,0,1,China|WASDE Surprise
20.03_South Korea_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_South Korea_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_South Korea_Oilseeds and Products Annual.md,True,31,51539,기상이변|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,26,23,Argentina|Brazil|Indonesia|Malaysia|India|China|Korea|Import Duty|WASDE Surprise|ENSO Phase|Palm Oil|Rapeseed Oil
20.03_Turkey_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Turkey_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Turkey_Oilseeds and Products Annual.md,True,19,38768,기상이변|물류충격|바이오연료수요|수입관세|압착|재고,하방 우세,52,107,Argentina|Brazil|India|China|Ukraine|Import Duty|WASDE Surprise|ENSO Phase|Sunflower Oil|Rapeseed Oil
20.03_Vietnam_Issues Decree Guiding the Law on Animal Husbandry.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Vietnam_Issues Decree Guiding the Law on Animal Husbandry.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Vietnam_Issues Decree Guiding the Law on Animal Husbandry.md,True,5,8775,,중립/혼재,0,0,
20.03_Vietnam_Issues Draft National Technical Regulations for Plant Quarantine Pests.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Vietnam_Issues Draft National Technical Regulations for Plant Quarantine Pests.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Vietnam_Issues Draft National Technical Regulations for Plant Quarantine Pests.md,True,3,3920,,중립/혼재,0,0,
20.03_Vietnam_Issues Safety Technical Regulation on Animal Feed and Feed Ingredients.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/03/20.03_Vietnam_Issues Safety Technical Regulation on Animal Feed and Feed Ingredients.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/03/20.03_Vietnam_Issues Safety Technical Regulation on Animal Feed and Feed Ingredients.md,True,7,7920,,하방 우세,0,1,Palm Oil|Sunflower Oil|Rapeseed Oil
20.04_Argentina_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/04/20.04_Argentina_Oilseeds and Products Annual.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/04/20.04_Argentina_Oilseeds and Products Annual.md,True,14,28137,물류충격|바이오연료수요|수출규제|압착|재고,하방 우세,28,57,Argentina|Brazil|India|China|Ukraine|Export Tax|WASDE Surprise|Crush Margin|Sunflower Oil
20.04_Brazil_Brazilian Commodity Prices Hit Record Levels.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/2020/04/20.04_Brazil_Brazilian Commodity Prices Hit Record Levels.pdf,data/raw/USDA/FAS/GAIN/Oilseeds/summary/2020/04/20.04_Brazil_Brazilian Commodity Prices Hit Record Levels.md,True,10,14259,기상이변|물류충격|재고,상방 우세,22,9,Argentina|Brazil|China|WASDE Surprise|ENSO Phase
