file,path,summary,readable,pages,chars,signals,tone,bull,bear,entities
14년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 12월_Market Monitor Issue.md,True,13,35778,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,37,32,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Harvest Delay|Soybean|Neutral Regime|Import Tariff|Source Document
14년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 2월_Market Monitor Issue.md,True,11,30297,물류충격|바이오연료수요|생산변동|압착|재고,중립/혼재,26,27,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Vegetable Oil|Neutral Regime|Political Instability|Source Document
14년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 3월_Market Monitor Issue.md,True,11,27492,물류충격|생산변동|압착|재고,상방 우세,33,21,Import Volume|Export Volume|Production Volume|Soybean|Neutral Regime|Source Document
14년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 4월_Market Monitor Issue.md,True,11,30525,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,34,26,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Bull Regime|Neutral Regime|Source Document
14년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 5월_Market Monitor Issue.md,True,12,31678,기상이변|물류충격|바이오연료수요|생산변동|수출규제|압착|재고,중립/혼재,34,28,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Stock-to-Use Ratio|Soybean|Neutral Regime|Export Tax|Source Document
14년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 6월_Market Monitor Issue.md,True,12,31643,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,중립/혼재,38,32,Import Volume|Export Volume|Soybean|Neutral Regime|Agricultural Exemption|Source Document
14년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 7월_Market Monitor Issue.md,True,12,33741,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,35,24,Inflation|Import Volume|Export Volume|Production Volume|Soybean|Neutral Regime|Agricultural Exemption|Source Document|Confidence Score
14년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/14년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2014/Summary/14년 9월_Market Monitor Issue.md,True,13,39464,기상이변|물류충격|바이오연료수요|수입관세|압착|재고,중립/혼재,37,36,Import Volume|Export Volume|Flood|Production Volume|Soybean|Bear Regime|Neutral Regime|Import Tariff|Agricultural Exemption|Source Document
15년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 10월_Market Monitor Issue.md,True,13,37136,기상이변|물류충격|바이오연료수요|생산변동|수출규제|압착|재고,하방 우세,23,36,Import Volume|Export Volume|Soil Moisture Percentile|Soybean|Bear Regime|Neutral Regime|Export Tax|Source Document
15년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 11월_Market Monitor Issue.md,True,13,37619,기상이변|물류충격|바이오연료수요|수입관세|압착|재고,중립/혼재,44,36,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Stock-to-Use Ratio|Soybean|Neutral Regime|Import Tariff|Source Document
15년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 12월_Market Monitor Issue.md,True,17,54777,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,중립/혼재,44,40,Import Volume|Export Volume|Flood|Production Volume|Soybean|Neutral Regime|Source Document
15년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 2월_Market Monitor Issue.md,True,13,34193,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,중립/혼재,32,31,Import Volume|Export Volume|Soybean|Bull Regime|Bear Regime|Neutral Regime|Freight Rate|Source Document
15년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 3월_Market Monitor Issue.md,True,13,34172,기상이변|물류충격|바이오연료수요|압착|재고,상방 우세,37,21,Import Volume|Export Volume|Planted Area|Soybean|Neutral Regime|Source Document
15년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 4월_Market Monitor Issue.md,True,13,34823,물류충격|바이오연료수요|수입관세|압착|재고,중립/혼재,31,29,Import Volume|Harvest Delay|Soybean|Bear Regime|Neutral Regime|Source Document
15년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 5월_Market Monitor Issue.md,True,13,37872,기상이변|물류충격|바이오연료수요|생산변동|수출규제|압착|재고,중립/혼재,35,38,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Production Volume|Soybean|Bear Regime|Neutral Regime|Source Document
15년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 6월_Market Monitor Issue.md,True,13,38488,기상이변|물류충격|바이오연료수요|생산변동|수출규제|압착|재고,상방 우세,44,26,Import Volume|Export Volume|Soybean|Bear Regime|Neutral Regime|Political Instability|Free on Board|Source Document
15년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 7월_Market Monitor Issue.md,True,13,38400,기상이변|물류충격|바이오연료수요|생산변동|수출규제|압착|재고,중립/혼재,34,34,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Crude Palm Oil|Neutral Regime|Hold Recommendation|Effective Date|Source Document
15년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/15년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2015/Summary/15년 9월_Market Monitor Issue.md,True,13,38173,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,하방 우세,37,51,Gross Domestic Product|Import Volume|Export Volume|Flood|Soil Moisture Percentile|Production Volume|Soybean|Crude Palm Oil|Bear Regime|Neutral Regime|Import Tariff|Source Document
16년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 10월_Market Monitor Issue.md,True,16,46049,물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,40,44,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Production Volume|Soybean|Bull Regime|Bear Regime|Neutral Regime|Source Document
16년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 11월_Market Monitor Issue.md,True,16,42467,기상이변|물류충격|바이오연료수요|수출규제|압착|재고,중립/혼재,45,35,Import Volume|Export Volume|Soybean|Bear Regime|Neutral Regime|Export Tax|Source Document
16년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 12월_Market Monitor Issue.md,True,16,46297,기상이변|물류충격|바이오연료수요|압착|재고,상방 우세,45,27,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Soybean Oil|Bear Regime|Neutral Regime|Source Document
16년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 2월_Market Monitor Issue.md,True,15,37728,기상이변|물류충격|바이오연료수요|수출규제|압착|재고,하방 우세,23,34,Import Volume|Export Volume|Production Volume|Soybean|Soybean Oil|Bear Regime|Neutral Regime|Export Tax|Subsidy|Policy Pivot|Source Document
16년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 3월_Market Monitor Issue.md,True,16,38834,기상이변|물류충격|바이오연료수요|압착|재고,중립/혼재,28,33,Import Volume|Export Volume|Flood|Production Volume|Soybean|Bull Regime|Neutral Regime|Source Document
16년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 4월_Market Monitor Issue.md,True,15,35138,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,상방 우세,45,33,Import Volume|Export Volume|Production Volume|Soybean|Neutral Regime|Import Tariff|Export Tax|Source Document
16년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 5월_Market Monitor Issue.md,True,16,38370,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,48,34,Import Volume|Export Volume|Flood|Production Volume|Soybean|Neutral Regime|Source Document
16년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 6월_Market Monitor Issue.md,True,16,38985,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,상방 우세,63,27,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Production Volume|Stock-to-Use Ratio|Soybean|Bear Regime|Neutral Regime|Source Document
16년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 7월_Market Monitor Issue.md,True,16,39738,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,49,37,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Soybean|Bear Regime|Neutral Regime|Import Tariff|Source Document
16년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/16년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2016/Summary/16년 9월_Market Monitor Issue.md,True,17,48074,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,중립/혼재,48,38,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Bear Regime|Neutral Regime|Import Tariff|Export Tax|Source Document
17년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 10월_Market Monitor Issue.md,True,15,39605,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,51,34,Import Volume|Export Volume|Soil Moisture Percentile|Soybean|Neutral Regime|Source Document
17년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 11월_Market Monitor Issue.md,True,15,39009,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,46,35,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Soybean|Bear Regime|Neutral Regime|Import Tariff|Source Document
17년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 12월_Market Monitor Issue.md,True,16,41100,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,상방 우세,50,30,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Soybean|Soybean Oil|Crude Soybean Oil|Bear Regime|Neutral Regime|Import Tariff|Source Document
17년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 2월_Market Monitor Issue.md,True,16,44348,기상이변|물류충격|바이오연료수요|수입관세|수출규제|압착|재고,중립/혼재,40,31,Import Volume|Export Volume|Flood|Production Volume|Soybean|Bull Regime|Bear Regime|Neutral Regime|Import Tariff|Policy Pivot|Source Document
17년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 4월_Market Monitor Issue.md,True,15,41917,물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,49,45,Import Volume|Export Volume|Planted Area|Production Volume|Soybean|Crude Palm Oil|Bear Regime|Neutral Regime|Source Document|Confidence Score
17년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 5월_Market Monitor Issue.md,True,16,39735,물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,36,30,Import Volume|Export Volume|Planted Area|Soybean|Bull Regime|Bear Regime|Neutral Regime|Import Tariff|Source Document
17년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 6월_Market Monitor Issue.md,True,16,42487,물류충격|바이오연료수요|생산변동|압착|재고,중립/혼재,48,37,Import Volume|Export Volume|Production Volume|Soybean|Bear Regime|Neutral Regime|Subsidy|Source Document
17년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 7월_Market Monitor Issue.md,True,16,41796,물류충격|바이오연료수요|생산변동|압착|재고,상방 우세,48,36,Inflation|Import Volume|Export Volume|Production Volume|Soybean|Crude Palm Oil|Bull Regime|Neutral Regime|Source Document
17년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/17년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2017/Summary/17년 9월_Market Monitor Issue.md,True,17,49418,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,57,42,Import Volume|Export Volume|Soil Moisture Percentile|Production Volume|Soybean|Crude Palm Oil|Bear Regime|Neutral Regime|US Gulf|Import Tariff|Source Document|Confidence Score
18년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 10월_Market Monitor Issue.md,True,18,48131,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,46,37,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Bear Regime|Neutral Regime|Baltic Dry Index|Freight Rate|Source Document
18년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 11월_Market Monitor Issue.md,True,18,48946,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,상방 우세,50,35,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Neutral Regime|Baltic Dry Index|Freight Rate|Source Document
18년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 12월_Market Monitor Issue.md,True,19,48985,기상이변|물류충격|바이오연료수요|생산변동|수출규제|압착|재고,중립/혼재,42,47,Import Volume|Export Volume|Planted Area|Production Volume|Soybean|Bear Regime|Neutral Regime|Baltic Dry Index|Freight Rate|Source Document
18년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 2월_Market Monitor Issue.md,True,17,43322,기상이변|물류충격|바이오연료수요|수입관세|수출규제|압착|재고,중립/혼재,47,44,Import Volume|Export Volume|Flood|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Crude Palm Oil|Neutral Regime|Hold Recommendation|Baltic Dry Index|Freight Rate
18년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 3월_Market Monitor Issue.md,True,16,43248,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,39,30,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Bear Regime|Neutral Regime|Baltic Dry Index|Freight Rate|Subsidy|Source Document
18년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 4월_Market Monitor Issue.md,True,16,44095,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,상방 우세,47,36,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Crude Palm Oil|Neutral Regime|Baltic Dry Index|Freight Rate|Source Document
18년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 5월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 5월_Market Monitor Issue.md,True,15,44205,기상이변|물류충격|바이오연료수요|수입관세|수출규제|압착|재고,중립/혼재,37,32,Gross Domestic Product|Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Neutral Regime|Trade War|Baltic Dry Index|Freight Rate|Policy Pivot
18년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 6월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 6월_Market Monitor Issue.md,True,17,46814,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착,상방 우세,42,24,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Production Volume|Soybean|Bear Regime|Neutral Regime|Baltic Dry Index|Freight Rate|Source Document
18년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 7월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 7월_Market Monitor Issue.md,True,19,50086,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,중립/혼재,39,42,Import Volume|Export Volume|Planted Area|Harvest Delay|Soybean|Neutral Regime|Geopolitical Conflict|Trade War|Baltic Dry Index|Freight Rate|Free on Board|Source Document
18년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/18년 9월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2018/Summary/18년 9월_Market Monitor Issue.md,True,19,54479,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,상방 우세,59,44,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Soybean|Crude Palm Oil|Neutral Regime|Baltic Dry Index|Freight Rate|Import Quota|Policy Pivot|Source Document
19년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/19년 10월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/Summary/19년 10월_Market Monitor Issue.md,True,19,47204,기상이변|물류충격|바이오연료수요|압착|재고,중립/혼재,53,42,Import Volume|Export Volume|Planted Area|Production Volume|Soybean|Bear Regime|Neutral Regime|Trade War|Baltic Dry Index|Freight Rate|Source Document
19년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/19년 11월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/Summary/19년 11월_Market Monitor Issue.md,True,17,40350,기상이변|물류충격|바이오연료수요|생산변동|수입관세|수출규제|압착|재고,중립/혼재,47,39,Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Soybean|Neutral Regime|Baltic Dry Index|Freight Rate|Import Tariff|Source Document
19년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/19년 12월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/Summary/19년 12월_Market Monitor Issue.md,True,17,42222,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,중립/혼재,44,36,Gross Domestic Product|Import Volume|Export Volume|Soil Moisture Percentile|Planted Area|Soybean|Neutral Regime|Trade War|Baltic Dry Index|Freight Rate|Source Document
19년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/19년 2월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/Summary/19년 2월_Market Monitor Issue.md,True,19,46064,기상이변|물류충격|바이오연료수요|생산변동|압착|재고,중립/혼재,41,33,Import Volume|Export Volume|Planted Area|Soybean|Bear Regime|Neutral Regime|Baltic Dry Index|Freight Rate|Source Document
19년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/19년 3월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/Summary/19년 3월_Market Monitor Issue.md,True,18,43612,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,35,39,Import Volume|Export Volume|Planted Area|Production Volume|Soybean|Neutral Regime|Trade War|Baltic Dry Index|Freight Rate|Import Tariff|Source Document
19년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/19년 4월_Market Monitor Issue.pdf,data/raw/FAO/AMIS/2019/Summary/19년 4월_Market Monitor Issue.md,True,18,44885,기상이변|물류충격|바이오연료수요|생산변동|수입관세|압착|재고,중립/혼재,36,42,Gross Domestic Product|Import Volume|Export Volume|Planted Area|Soybean|Neutral Regime|Baltic Dry Index|Freight Rate|Import Tariff|Source Document
